12330,현대모비스,226500,220484,13.68,0.74,1.6,42.2,48,5934,가치주
14830,유니드,55400,4925,12.44,0.76,1.9,71.4,7.38,1366,가치주
17390,서울가스,91700,4585,9.81,0.48,1.9,68.7,7.02,2636,가치주
24660,하림홀딩스,3740,3334,9.95,0.86,1.3,89.5,2.88,770,가치주
25540,한국단자,45550,4744,9.52,0.7,1.6,29.6,24.35,12873,가치주
25900,동화기업,34350,4932,11.58,0.97,1,85.3,34.74,6528,가치주
34120,SBS,23900,4362,28.12,0.76,1,94,0,525,가치주
37560,CJ헬로,9460,7326,25.36,0.74,0.8,89.3,4.9,410,가치주
57050,현대홈쇼핑,105500,12660,10.07,0.8,1.6,21.4,25.68,2538,가치주
69960,현대백화점,115500,27030,10.27,0.66,0.7,46.8,27.14,3374,가치주
72710,농심홀딩스,109000,5055,12.44,0.59,1.9,32.7,5.47,3617,가치주
93050,LF,28800,8421,11.43,0.77,1.7,44.6,38.64,647,가치주
126560,현대에이치씨엔,4370,4933,11.06,0.73,1.1,9.8,19.05,1103,가치주
139480,이마트,249000,69411,11.52,0.84,0.7,83.2,48.88,5815,가치주
145990,삼양사,86100,8860,24.3,0.85,1.5,72.1,4.13,1931,가치주
180640,한진칼,23550,13935,6.34,0.92,0.5,62.4,7.45,919,가치주
183190,아세아시멘트,184000,7168,11.18,0.88,0.8,30,7.02,4103,가치주
30,우리은행,15500,104780,7.75,0.51,3.9,1438,25.88,503,배당주
60,메리츠화재,20050,22123,5.71,1.24,5.6,920.2,19.2,3147,배당주
80,하이트진로,20200,14167,110.99,1.11,4,188.1,16.25,251,배당주
150,두산,106000,20350,55.53,0.95,4.9,278.4,8.65,1929,배당주
480,조선내화,89700,3588,21.24,0.64,3.9,52.9,3.13,2724,배당주
810,삼성화재,254000,120332,11.17,0.96,4,536.4,51.08,50496,배당주
1430,세아베스틸,23500,8428,6.6,0.46,3.8,70.7,10.96,742,배당주
1450,현대해상,34550,30888,5.93,0.98,4.4,1204.6,49.55,6927,배당주
1720,신영증권,57900,5435,8.77,0.8,4.3,678.2,10.64,1343,배당주
2990,금호산업,13150,4714,4.93,1.19,3.7,227.2,10.51,122,배당주
3540,대신증권,13100,6651,8.11,0.56,4.5,834,25.84,371,배당주
4800,효성,134000,47057,13.69,1.28,3.7,276.2,18.99,2000,배당주
5810,풍산홀딩스,47500,3722,4.6,0.53,3.8,19.8,8.51,1452,배당주
5830,DB손해보험,58500,41418,5.6,0.89,3.9,900.9,48.4,13057,배당주
8060,대덕전자,8190,3996,9.58,0.71,3.8,16.7,20.03,2213,배당주
8560,메리츠종금증권,4035,24438,6.36,0.9,4.9,607.9,7.13,349,배당주
9680,모토닉,9870,3257,17.29,0.79,3.5,9.1,16.04,2404,배당주
10780,아이에스동서,28950,8925,4.56,0.84,3.7,105.4,5.59,6815,배당주
10950,S-Oil,108000,121589,10.09,1.84,5.5,120.5,76.4,2248,배당주
13120,동원개발,4475,4064,4.04,0.68,3.6,18.3,18.47,1210,배당주
17670,SK텔레콤,222000,179255,6.07,0.89,4.5,85.4,40.99,44934,배당주
24110,기업은행,15500,86797,7.12,0.52,4,1284.1,23.93,499,배당주
28150,GS홈쇼핑,172800,11340,10.36,1.03,3.8,34,29.36,3271,배당주
29780,삼성카드,37700,43679,10.69,0.6,4,233.3,12.67,1075,배당주
30200,KT,27000,70500,13.87,0.56,3.7,126.2,49,701,배당주
33660,아주캐피탈,8500,4891,9.36,0.69,19.7,655.2,1.63,145,배당주
33780,KT&G,96500,132487,10.47,1.64,4.2,27.4,53.28,748,배당주
35250,강원랜드,27000,57764,12.51,1.57,3.7,19.6,28.3,3336,배당주
69260,휴켐스,29100,11896,9.75,1.89,5,47.2,15.96,1443,배당주
71320,지역난방공사,67500,7816,11.18,0.43,4.2,212.7,4.37,3061,배당주
78020,이베스트투자증권,10900,4412,10.04,1.02,4.5,701.5,0.04,115,배당주
79440,아이엔지생명,40400,33128,9.74,0.9,6,757.4,37.83,4374,배당주
82640,동양생명,7160,11553,5.4,0.47,5.1,1137.3,84.66,207,배당주
86790,하나금융지주,41900,125801,6.15,0.52,3.7,1350.3,71.88,1513,배당주
96770,SK이노베이션,203500,188167,9.01,1.05,3.9,77.3,41.37,3789,배당주
105560,KB금융,52300,218672,6.3,0.63,3.7,1183,69.71,1564,배당주
138040,메리츠금융지주,13850,19421,5.34,0.94,3.6,770.3,7.1,2853,배당주
152330,코리아오토글라스,15500,3100,6.93,0.97,4.5,64.6,14.42,218,배당주
1140,카리스국보,2405,576,483.5039919,2.99,0,315.3,2.86,72.2,투자유의
3580,넥스트사이언스,7900,2246,183.2785287,2.58,0,79.5,7.11,441.3,투자유의
15540,메디파트너생명공학,5540,427,718.2885547,8.41,0,-2448.5,1.37,-186.7,투자유의
32820,우리기술,997,988,209.8264255,2.57,0,206.4,1.97,-27.1,투자유의
33430,디에스티,1040,596,183.9924088,2.88,0,356.7,0,179.6,투자유의
39670,한류타임즈,917,549,687.9559663,2.72,0,-1152.7,4.23,-112,투자유의
49180,셀루메드,5980,1455,450.5331829,4.63,0,231.7,2.64,106.7,투자유의
53110,소리바다,1165,742,472.479554,2.41,0,117.8,0.97,-10.8,투자유의
54220,비츠로시스,485,254,979.0270207,2.13,0,4378,4.29,-93.3,투자유의
54340,피앤텔,6680,269,750.4324534,3.7,0,460.8,3.12,252.1,투자유의
60900,케이알피앤이,1205,1139,344.4151716,7.77,0,375,0.55,-4.2,투자유의
65620,제낙스,3660,823,501.6277315,8.94,0,397.5,1.38,-47,투자유의
72520,제넨바이오,1910,1511,181.6592982,3.51,0,194.8,0.43,303.9,투자유의
74610,나노메딕스,7210,2531,277.7481979,6.03,0,136.2,1.29,173.1,투자유의
84990,헬릭스미스,91100,19509,180.0907538,13.65,0,50.2,12.15,2592.6,투자유의
86250,화신테크,6040,819,366.3067974,2.78,0,263.4,1.02,200,투자유의
90080,평화산업,1280,703,760.2127017,2.28,0,640.4,1.34,-9,투자유의
94190,이엘케이,787,569,817.3983181,2.89,0,-1500.8,1.13,-116.3,투자유의
95270,웨이브일렉트로,20450,2251,243.7133912,5.02,0,197.6,3.22,501,투자유의
101400,엔시트론,398,539,721.5279946,6.05,0,238.7,0.74,-10.9,투자유의
108860,셀바스AI,3780,834,732.4675857,2.55,0,148.6,7.01,135.3,투자유의
109070,컨버즈,1940,597,779.6791507,35.27,0,1673.9,0.73,-83.9,투자유의
122640,예스티,12900,1806,180,2.65,0,146.1,0.97,964.1,투자유의
123010,아이에이네트웍스,6190,391,518.456225,4.37,0,276.7,1.71,165.2,투자유의
142760,바이오리더스,6830,1208,308.303014,3.46,0,99.5,0,422.8,투자유의
145210,세화아이엠씨,2990,879,829.6246687,2.97,0,533,2.17,97.1,투자유의
150840,인트로메딕,3095,765,262.38429,3.86,0,72.1,1.31,139.3,투자유의
151910,나노스,4055,4515,180.0006711,15.39,0,244.1,0.69,122,투자유의
156100,엘앤케이바이오,7010,756,537.9505196,2.05,0,154.7,4.78,506.6,투자유의
161580,필옵틱스,12000,2202,587.6442115,2.87,0,226.9,0.66,619.6,투자유의
182400,엔케이맥스,10250,3201,277.4553928,7.29,0,40.6,8.48,661,투자유의
185490,아이진,10700,1229,384.669148,5.28,0,150.9,0.36,256.7,투자유의
195440,퓨전,4860,187,916.1211884,8.4,0,98.2,0.91,-28.8,투자유의
208370,셀바스헬스케어,2440,529,782.6850549,2.32,0,187.5,0.57,96.3,투자유의
208640,썸에이지,708,696,871.8677076,6.19,0,25.5,0.26,46.8,투자유의
220100,퓨쳐켐,15000,862,456.2744521,5.24,0,418.5,1.64,306.1,투자유의
235980,메드팩토,37250,3761,202.5423275,63.22,0,11.4,0.12,422.5,투자유의
